Em,IDSessao,Pedido,IP,Pageviews
07/11/2012 14:48:00,918780354,,"66.249.75.190",1
07/11/2012 14:40:00,918774988,,"66.249.75.174",1
07/11/2012 14:31:00,918769131,,"66.249.75.218",1
07/11/2012 14:30:00,918768984,,"66.249.75.167",1
07/11/2012 14:30:00,918768918,,"66.249.75.208",1
07/11/2012 14:30:00,918768553,,"66.249.75.183",1
07/11/2012 14:23:00,918763858,,"66.249.75.184",0
07/11/2012 14:22:00,918763511,,"66.249.75.189",1
07/11/2012 14:19:00,918761202,,"66.249.75.197",1
07/11/2012 14:16:00,918759752,,"66.249.75.175",1
07/11/2012 14:15:00,918759147,,"66.249.75.205",1
07/11/2012 14:13:00,918757526,,"66.249.75.174",1
07/11/2012 14:12:00,918756481,,"201.50.36.194",16
07/11/2012 14:09:00,918754657,,"189.13.140.192",11
07/11/2012 14:08:00,918754160,,"66.249.75.206",1
07/11/2012 14:05:00,918752409,,"66.249.75.189",1
07/11/2012 14:03:00,918750714,,"66.249.75.210",0
07/11/2012 13:59:00,918748653,,"66.249.75.194",1
07/11/2012 13:58:00,918748239,,"66.249.75.170",1
07/11/2012 13:50:00,918742706,,"66.249.75.200",1
07/11/2012 13:49:00,918742198,,"66.249.75.211",1
07/11/2012 13:45:00,918739388,,"66.249.75.204",1
07/11/2012 13:39:00,918735958,,"66.249.75.166",1
07/11/2012 13:29:00,918729181,,"66.249.75.202",1
07/11/2012 13:29:00,918729127,,"66.249.75.204",1
07/11/2012 13:29:00,918729095,,"66.249.75.211",1
07/11/2012 13:28:00,918728532,,"66.249.75.208",1
07/11/2012 13:26:00,918727388,,"66.249.75.186",1
07/11/2012 13:25:00,918726504,,"66.249.75.185",1
07/11/2012 13:24:00,918725764,,"66.249.75.196",1
07/11/2012 13:24:00,918725363,,"66.249.75.198",1
07/11/2012 13:24:00,918725360,,"66.249.75.185",1
07/11/2012 13:23:00,918724633,,"66.249.75.186",1
07/11/2012 13:21:00,918723475,,"66.249.75.216",1
07/11/2012 13:19:00,918721897,,"66.249.75.189",1
07/11/2012 13:19:00,918721727,,"66.249.76.142",1
07/11/2012 13:17:00,918720958,,"66.249.75.211",1
07/11/2012 13:15:00,918718953,,"66.249.75.185",1
07/11/2012 13:15:00,918718842,,"66.249.75.200",1
07/11/2012 13:13:00,918717469,,"66.249.75.193",1
07/11/2012 13:12:00,918717108,,"66.249.75.186",1
07/11/2012 13:11:00,918716211,,"66.249.75.208",1
07/11/2012 13:11:00,918715989,,"66.249.75.167",1
07/11/2012 13:09:00,918715311,,"66.249.75.217",1
07/11/2012 13:09:00,918714883,,"66.249.75.216",1
07/11/2012 13:05:00,918712536,,"66.249.75.183",1
07/11/2012 13:05:00,918711943,,"66.249.75.196",1
07/11/2012 13:02:00,918710088,,"66.249.75.201",1
07/11/2012 12:52:00,918703151,,"66.249.75.212",1
07/11/2012 12:43:00,918697755,,"66.249.75.181",1
07/11/2012 12:40:00,918695386,,"66.249.75.216",1
07/11/2012 12:38:00,918693982,,"66.249.75.168",1
07/11/2012 12:33:00,918690872,,"66.249.75.172",0
07/11/2012 12:31:00,918689281,,"66.249.75.214",1
07/11/2012 12:25:00,918685762,,"66.249.75.181",1
07/11/2012 12:22:00,918683746,,"66.249.75.200",1
07/11/2012 12:17:00,918681235,,"189.41.77.103",2
07/11/2012 12:16:00,918680314,,"66.249.75.172",1
07/11/2012 12:15:00,918679836,,"177.17.138.61",1
07/11/2012 12:13:00,918678460,,"66.249.75.198",1
07/11/2012 12:09:00,918675806,,"66.249.75.179",1
07/11/2012 12:07:00,918674843,,"66.249.75.202",1
07/11/2012 11:56:00,918667473,,"66.249.75.190",1
07/11/2012 11:49:00,918662952,,"66.249.75.216",1
07/11/2012 11:41:00,918656917,,"66.249.75.213",1
07/11/2012 11:28:00,918648639,,"187.40.96.46",1
07/11/2012 11:24:00,918645651,,"66.249.75.210",1
07/11/2012 11:14:00,918638658,,"66.249.75.183",1
07/11/2012 10:55:00,918625774,,"66.249.75.186",1
07/11/2012 10:51:00,918622567,,"66.249.75.187",1
07/11/2012 10:40:00,918614354,,"66.249.75.181",1
07/11/2012 10:32:00,918608812,,"66.249.75.191",1
07/11/2012 10:26:00,918605171,,"66.249.75.180",1
07/11/2012 10:22:00,918601935,,"66.249.75.211",1
07/11/2012 09:57:00,918585619,,"66.249.75.192",1
07/11/2012 09:57:00,918585243,,"66.249.75.169",1
07/11/2012 09:55:00,918583982,,"66.249.75.206",1
07/11/2012 09:55:00,918583967,,"200.149.239.202",1
07/11/2012 09:36:00,918571410,,"66.249.75.201",1
07/11/2012 09:35:00,918570793,,"66.249.75.168",1
07/11/2012 09:33:00,918569459,,"66.249.75.173",1
07/11/2012 09:27:00,918566020,,"66.249.75.166",1
07/11/2012 09:01:00,918552003,,"66.249.75.215",1
07/11/2012 08:57:00,918549700,,"66.249.75.186",1
07/11/2012 08:50:00,918546211,,"66.249.75.189",1
07/11/2012 08:29:00,918536469,,"157.56.229.23",1
07/11/2012 07:38:00,918516397,,"157.55.35.44",1
07/11/2012 07:38:00,918516339,,"157.55.35.44",1
07/11/2012 07:15:00,918509169,,"157.56.229.23",1
07/11/2012 07:15:00,918509123,,"157.56.229.23",1
07/11/2012 06:08:00,918491712,,"66.249.75.196",1
07/11/2012 05:44:00,918485067,,"66.249.75.204",1
07/11/2012 05:41:00,918484243,,"157.55.33.47",1
07/11/2012 05:28:00,918480403,,"157.55.33.47",1
07/11/2012 05:18:00,918477174,,"66.249.75.172",1
07/11/2012 05:18:00,918477142,,"157.55.32.111",1
07/11/2012 05:12:00,918475515,,"66.249.75.214",1
07/11/2012 04:58:00,918471191,,"66.249.75.209",1
07/11/2012 04:58:00,918470911,,"66.249.75.209",1
07/11/2012 04:49:00,918468168,,"66.249.75.215",1
07/11/2012 04:44:00,918466652,,"66.249.75.192",1
07/11/2012 04:42:00,918466152,,"66.249.75.214",1
07/11/2012 04:29:00,918462037,,"66.249.75.167",1
07/11/2012 04:15:00,918458097,,"157.55.32.111",1
07/11/2012 04:12:00,918456970,,"66.249.75.197",1
07/11/2012 04:05:00,918454878,,"66.249.75.198",1
07/11/2012 03:42:00,918447631,,"157.55.32.100",1
07/11/2012 03:30:00,918443581,,"66.249.75.213",1
07/11/2012 03:08:00,918436867,,"66.249.75.216",1
07/11/2012 02:52:00,918431877,,"65.55.52.86",1
07/11/2012 02:47:00,918430483,,"66.249.75.196",0
07/11/2012 02:09:00,918421290,,"66.249.75.214",1
07/11/2012 02:01:00,918418928,,"66.249.75.183",1
07/11/2012 01:29:00,918409673,,"66.249.75.191",1
07/11/2012 01:02:00,918401315,,"66.249.75.200",1
07/11/2012 00:27:00,918389028,,"65.55.52.86",1
07/11/2012 00:25:00,918388262,,"66.249.75.172",1
07/11/2012 00:16:00,918384552,,"66.249.75.172",1
06/11/2012 23:36:00,918366954,,"66.249.75.181",1
06/11/2012 23:32:00,918364918,,"66.249.75.204",1
06/11/2012 23:19:00,918359382,,"66.249.75.217",1
06/11/2012 23:17:00,918358395,,"66.249.75.168",1
06/11/2012 23:13:00,918357123,,"66.249.75.189",1
06/11/2012 23:08:00,918354411,,"66.249.75.215",1
06/11/2012 23:06:00,918353660,,"66.249.75.198",1
06/11/2012 23:04:00,918352444,,"66.249.75.211",1
06/11/2012 22:58:00,918349708,,"66.249.75.179",1
06/11/2012 22:47:00,918343988,,"66.249.75.205",1
06/11/2012 22:13:00,918326375,,"66.249.75.197",1
06/11/2012 22:10:00,918324611,,"66.249.75.171",1
06/11/2012 22:09:00,918324229,,"66.249.75.198",1
06/11/2012 22:03:00,918320684,,"157.55.32.111",1
06/11/2012 21:37:00,918306634,,"66.249.75.195",1
06/11/2012 21:33:00,918304313,,"66.249.75.208",1
06/11/2012 21:01:00,918286493,,"66.249.75.216",1
06/11/2012 18:30:00,918212786,,"66.249.75.213",1
06/11/2012 18:00:00,918199973,,"200.180.191.210",1
06/11/2012 17:41:00,918189747,,"66.249.75.201",1
06/11/2012 17:28:00,918182081,,"157.55.32.100",1
06/11/2012 17:16:00,918175026,,"66.249.75.202",1
06/11/2012 17:11:00,918171962,,"66.249.75.215",1
06/11/2012 16:45:00,918156855,,"66.249.75.216",1
06/11/2012 16:44:00,918156260,,"66.249.75.208",1
06/11/2012 16:42:00,918155581,,"189.11.197.142",2
06/11/2012 16:37:00,918152644,,"66.249.75.184",1
06/11/2012 16:35:00,918151489,,"200.215.121.42",2
06/11/2012 16:34:00,918150911,,"177.103.241.114",22
06/11/2012 16:29:00,918147777,,"66.249.75.180",1
06/11/2012 16:25:00,918145317,,"66.249.75.204",1
06/11/2012 16:22:00,918143928,,"66.249.75.189",1
06/11/2012 16:22:00,918143676,,"66.249.75.189",1
06/11/2012 16:14:00,918138737,,"66.249.75.202",1
06/11/2012 16:06:00,918134043,,"66.249.75.219",1
06/11/2012 15:59:00,918129860,,"66.249.75.204",1
06/11/2012 15:56:00,918127541,,"66.249.75.204",1
06/11/2012 15:52:00,918125036,,"66.249.75.173",1
06/11/2012 15:51:00,918123922,,"66.249.75.180",1
06/11/2012 15:50:00,918123285,,"66.249.75.211",1
06/11/2012 15:49:00,918122305,,"66.249.75.193",1
06/11/2012 15:48:00,918121958,,"66.249.75.202",1
06/11/2012 15:47:00,918121105,,"66.249.75.190",1
06/11/2012 15:47:00,918120983,,"66.249.75.195",1
06/11/2012 15:46:00,918120424,,"66.249.75.199",1
06/11/2012 15:44:00,918119397,,"66.249.75.183",1
06/11/2012 15:44:00,918119264,,"66.249.75.212",1
06/11/2012 15:43:00,918118862,,"66.249.75.209",1
06/11/2012 15:42:00,918117960,,"66.249.75.208",1
06/11/2012 15:40:00,918116759,,"66.249.75.185",1
06/11/2012 15:39:00,918116034,,"66.249.75.203",1
06/11/2012 15:39:00,918115883,,"66.249.75.174",1
06/11/2012 15:38:00,918115548,,"66.249.75.195",1
06/11/2012 15:37:00,918115067,,"66.249.75.193",1
06/11/2012 15:36:00,918114600,,"66.249.75.170",1
06/11/2012 15:35:00,918113835,,"66.249.75.201",1
06/11/2012 15:34:00,918113048,,"66.249.75.198",1
06/11/2012 15:29:00,918110796,,"66.249.75.166",1
06/11/2012 15:25:00,918108070,,"66.249.75.177",1
06/11/2012 15:16:00,918103484,,"66.249.75.201",0
06/11/2012 15:11:00,918100484,,"66.249.75.200",0
06/11/2012 15:04:00,918095659,,"66.249.75.187",1
06/11/2012 15:01:00,918093691,,"74.125.183.18",3
06/11/2012 14:58:00,918092203,,"66.249.75.197",1
06/11/2012 14:58:00,918092197,,"66.249.75.220",0
06/11/2012 14:51:00,918087583,,"66.249.75.205",1
06/11/2012 14:51:00,918087383,,"66.249.75.202",1
06/11/2012 14:51:00,918087319,,"66.249.75.170",1
06/11/2012 14:50:00,918087279,,"66.249.75.171",1
06/11/2012 14:49:00,918086473,,"66.249.75.170",1
06/11/2012 14:48:00,918085833,,"66.249.75.166",1
06/11/2012 14:48:00,918085722,,"66.249.75.211",1
06/11/2012 14:46:00,918084818,,"66.249.75.212",1
06/11/2012 14:46:00,918084426,,"66.249.75.194",1
06/11/2012 14:42:00,918081843,,"66.249.75.170",1
06/11/2012 14:37:00,918078531,,"66.249.75.178",1
06/11/2012 14:32:00,918075251,,"66.249.75.180",1
06/11/2012 14:32:00,918074921,,"66.249.75.218",1
06/11/2012 14:29:00,918073351,,"66.249.75.202",1
06/11/2012 14:28:00,918072639,,"66.249.75.174",1
06/11/2012 14:28:00,918072496,,"66.249.75.219",1
06/11/2012 14:26:00,918071534,,"66.249.75.177",1
06/11/2012 14:26:00,918071260,,"66.249.75.185",1
06/11/2012 14:26:00,918071258,,"66.249.75.208",0
06/11/2012 14:23:00,918069435,,"66.249.75.167",1
06/11/2012 14:23:00,918069375,,"66.249.75.178",1
06/11/2012 14:22:00,918068906,,"66.249.75.174",1
06/11/2012 14:22:00,918068638,,"66.249.75.197",1
06/11/2012 14:21:00,918068225,,"66.249.75.189",1
06/11/2012 14:20:00,918067058,,"66.249.75.176",1
06/11/2012 14:19:00,918066620,,"66.249.75.172",1
